nomeCliente,emocaoCliente,statusCliente,valor,foiEmbora,valorTotal,quantidadeClientes
Ada Ruecker,feliz,sacando,6234.67,N,93765.33,10
Ada Ruecker,feliz,depositando,20074.74,N,113840.07,10
Andrew McDermott,feliz,sacando,17512.57,N,96327.5,10
Andrew McDermott,feliz,depositando,23175.71,N,119503.20999999999,10
Cassi Waters,feliz,sacando,1965.23,N,117537.98,10
Cassi Waters,feliz,depositando,9119.49,N,126657.47,10
Shawnda Lynch Sr.,feliz,sacando,6694.59,N,119962.88,10
Shawnda Lynch Sr.,feliz,depositando,10627.08,N,130589.96,10
Mr. Huong O'Hara,feliz,sacando,13276.4,N,117313.56000000001,10
Mr. Huong O'Hara,feliz,depositando,24149.52,N,141463.08000000002,10
Rolf Windler,feliz,sacando,729.26,N,140733.82,10
Rolf Windler,feliz,depositando,23509.69,N,164243.51,10
Mitchel Sawayn,feliz,sacando,6101.1,N,158142.41,10
Mitchel Sawayn,feliz,depositando,9040.74,N,167183.15,10
Rachelle Kris,feliz,sacando,10648.36,N,156534.78999999998,10
Rachelle Kris,feliz,depositando,10133.49,N,166668.27999999997,10
Ms. Kenneth Mosciski,feliz,sacando,11629.89,N,155038.38999999996,10
Ms. Kenneth Mosciski,feliz,depositando,1210.85,N,156249.23999999996,10
Annemarie Weissnat DDS,feliz,sacando,5220.48,N,151028.75999999995,10
Annemarie Weissnat DDS,feliz,depositando,1674.15,N,152702.90999999995,10
Ms. Kenneth Mosciski,feliz,sacando,24988.43,N,127714.47999999995,10
Ms. Kenneth Mosciski,feliz,depositando,15718.39,N,143432.86999999994,10
Rachelle Kris,feliz,sacando,31125.47,N,112307.39999999994,10
Rachelle Kris,feliz,depositando,24028.82,N,136336.21999999994,10
Mitchel Sawayn,feliz,sacando,24933.58,N,111402.63999999994,10
Mitchel Sawayn,feliz,depositando,24380.64,N,135783.27999999994,10
Rolf Windler,feliz,sacando,17479.77,N,118303.50999999994,10
Rolf Windler,feliz,depositando,2564.69,N,120868.19999999994,10
Mr. Huong O'Hara,feliz,sacando,949.55,N,119918.64999999994,10
Mr. Huong O'Hara,feliz,depositando,28690.64,N,148609.28999999992,10
Shawnda Lynch Sr.,feliz,sacando,1858.04,N,146751.2499999999,10
Shawnda Lynch Sr.,feliz,depositando,18614.34,N,165365.5899999999,10
Cassi Waters,feliz,sacando,8500.74,N,156864.84999999992,10
