nomeCliente,emocaoCliente,statusCliente,valor,foiEmbora,valorTotal,quantidadeClientes
Cornell Robel,feliz,sacando,167687.55,N,832312.45,10
Cornell Robel,feliz,depositando,199018.78,N,1031331.23,10
Yaeko Little DDS,feliz,sacando,57964.07,N,973367.16,10
Yaeko Little DDS,feliz,depositando,152027.62,N,1125394.78,10
Mrs. Andre Runolfsdottir,feliz,sacando,16202.3,N,1109192.48,10
Mrs. Andre Runolfsdottir,feliz,depositando,191787.74,N,1300980.22,10
Mrs. Mikel Grimes,feliz,sacando,19138.11,N,1281842.1099999999,10
Mrs. Mikel Grimes,feliz,depositando,168358.45,N,1450200.5599999998,10
Mrs. Cody Champlin,feliz,sacando,52870.63,N,1397329.93,10
Mrs. Cody Champlin,feliz,depositando,175114.39,N,1572444.3199999998,10
Cory Spinka,feliz,sacando,119074.08,N,1453370.2399999998,10
Cory Spinka,feliz,depositando,81058.42,N,1534428.6599999997,10
Cornelius Mosciski,feliz,sacando,68005.76,N,1466422.8999999997,10
Cornelius Mosciski,feliz,depositando,101954.63,N,1568377.5299999998,10
Jeanine Muller,feliz,sacando,137752.53,N,1430624.9999999998,10
Jeanine Muller,feliz,depositando,167990.26,N,1598615.2599999998,10
Starla Hamill,feliz,sacando,74087.64,N,1524527.6199999999,10
Starla Hamill,feliz,depositando,141251.51,N,1665779.13,10
Janetta Deckow,feliz,sacando,193683.07,N,1472096.0599999998,10
Janetta Deckow,feliz,depositando,149376.53,N,1621472.5899999999,10
Starla Hamill,feliz,sacando,306940.99,N,1314531.5999999999,10
Starla Hamill,feliz,depositando,246638.71,N,1561170.3099999998,10
Jeanine Muller,feliz,sacando,150995.63,N,1410174.6799999997,10
Jeanine Muller,feliz,depositando,234668.68,N,1644843.3599999996,10
Cornelius Mosciski,feliz,sacando,261476.03,N,1383367.3299999996,10
Cornelius Mosciski,feliz,depositando,67329.62,N,1450696.9499999997,10
Cory Spinka,feliz,sacando,303738.68,N,1146958.2699999998,10
Cory Spinka,feliz,depositando,183369.83,N,1330328.0999999999,10
Mrs. Cody Champlin,feliz,sacando,131387.25,N,1198940.8499999999,10
Mrs. Cody Champlin,feliz,depositando,204709.24,N,1403650.0899999999,10
Mrs. Mikel Grimes,feliz,sacando,3087.83,N,1400562.2599999998,10
Mrs. Mikel Grimes,feliz,depositando,147629.44,N,1548191.6999999997,10
Mrs. Andre Runolfsdottir,feliz,sacando,5067.64,N,1543124.0599999998,10
Mrs. Andre Runolfsdottir,feliz,depositando,101894.96,N,1645019.0199999998,10
Yaeko Little DDS,feliz,sacando,94788.77,N,1550230.2499999998,10
Yaeko Little DDS,feliz,depositando,159558.64,N,1709788.8899999997,10
Cornell Robel,feliz,sacando,41795.35,N,1667993.5399999996,10
Cornell Robel,feliz,depositando,55475.18,N,1723468.7199999995,10
Yaeko Little DDS,feliz,sacando,278971.73,N,1444496.9899999995,10
Yaeko Little DDS,feliz,depositando,46339.0,N,1490835.9899999995,10
Mrs. Andre Runolfsdottir,feliz,sacando,207277.92,N,1283558.0699999996,10
Mrs. Andre Runolfsdottir,feliz,depositando,323721.94,N,1607280.0099999995,10
Mrs. Mikel Grimes,feliz,sacando,221941.22,N,1385338.7899999996,10
